observed_on,scientific_name,common_name,taxon_order_name,taxon_family_name
5/4/2014,Anthocharis sara,Sara Orangetip,Lepidoptera,Pieridae
5/5/2014,Euchloe ausonides,Large Marble,Lepidoptera,Pieridae
5/5/2014,Hippodamia convergens,Convergent Lady Beetle,Coleoptera,Coccinellidae
5/17/2014,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/30/2014,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
5/30/2014,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
5/30/2014,Colias eurytheme,Orange Sulphur,Lepidoptera,Pieridae
6/1/2014,Chlosyne palla,Northern Checkerspot,Lepidoptera,Nymphalidae
6/1/2014,Trichodes ornatus,Ornate Checkered Beetle,Coleoptera,Cleridae
6/1/2014,Junonia grisea,Gray Buckeye,Lepidoptera,Nymphalidae
6/1/2014,Icaricia icarioides,Boisduval's Blue,Lepidoptera,Lycaenidae
6/1/2014,Euphydryas chalcedona,Variable Checkerspot,Lepidoptera,Nymphalidae
6/1/2014,Chlosyne palla,Northern Checkerspot,Lepidoptera,Nymphalidae
6/1/2014,Phyciodes pulchella,Field Crescent,Lepidoptera,Nymphalidae
6/7/2014,Lygaeus kalmii,Small Milkweed Bug,Hemiptera,Lygaeidae
6/8/2014,Bombus vosnesenskii,Yellow-faced Bumble Bee,Hymenoptera,Apidae
6/8/2014,Monochamus scutellatus,White-spotted Sawyer,Coleoptera,Cerambycidae
6/8/2014,Celastrina echo,Echo Azure,Lepidoptera,Lycaenidae
6/18/2014,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/18/2014,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/18/2014,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/18/2014,Euphydryas editha,Edith's Checkerspot,Lepidoptera,Nymphalidae
6/18/2014,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/18/2014,Euphydryas editha,Edith's Checkerspot,Lepidoptera,Nymphalidae
6/18/2014,Lycaena cupreus,Lustrous Copper,Lepidoptera,Lycaenidae
6/19/2014,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
6/19/2014,Plebejus melissa,Melissa Blue,Lepidoptera,Lycaenidae
6/19/2014,Alypia langtoni,Langton's Forester,Lepidoptera,Noctuidae
6/19/2014,Boloria epithore,Pacific Fritillary,Lepidoptera,Nymphalidae
6/19/2014,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/19/2014,Phyciodes pulchella,Field Crescent,Lepidoptera,Nymphalidae
6/19/2014,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
6/19/2014,Chlosyne hoffmanni,Hoffmann's Checkerspot,Lepidoptera,Nymphalidae
6/19/2014,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
6/20/2014,Cordulia shurtleffii,American Emerald,Odonata,Corduliidae
6/22/2014,Polygonia gracilis,Hoary Comma,Lepidoptera,Nymphalidae
6/22/2014,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
6/22/2014,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
6/27/2014,Adelpha californica,California Sister,Lepidoptera,Nymphalidae
6/29/2014,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
6/29/2014,Polites sabuleti,Sandhill Skipper,Lepidoptera,Hesperiidae
6/29/2014,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
6/30/2014,Papilio eurymedon,Pale Swallowtail,Lepidoptera,Papilionidae
7/6/2014,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/6/2014,Leucorrhinia hudsonica,Hudsonian Whiteface,Odonata,Libellulidae
7/12/2014,Limenitis lorquini,Lorquin's Admiral,Lepidoptera,Nymphalidae
7/13/2014,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
7/17/2014,Lestes dryas,Emerald Spreadwing,Odonata,Lestidae
7/17/2014,Sympetrum semicinctum,Band-winged Meadowhawk,Odonata,Libellulidae
7/17/2014,Plebejus anna,Anna's Blue,Lepidoptera,Lycaenidae
7/17/2014,Argynnis hydaspe,Hydaspe Fritillary,Lepidoptera,Nymphalidae
7/17/2014,Libellula pulchella,Twelve-spotted Skimmer,Odonata,Libellulidae
7/17/2014,Libellula quadrimaculata,Four-spotted Skimmer,Odonata,Libellulidae
